osm_id,name,address,lat,lng,category,opening_hours,floor_area_m2,employees,avg_rating,rating_source_count,price_range,popularity,total_tips,event_multiplier,revenue_proxy,insurable
451154,The Catcher in the Rye,319 Regents Park Road,51.5995788,-0.196028,pub,Mo-Su 08:30-23:00,,5,,,£,,,1.2,3000,true
451271,The Tally Ho,"749 High Road, London, N12 0BP",51.6141038,-0.1765556,pub,,,10,2.45,42,£,,,1.2,4410,false
12242503,Railway Bell,,51.5920158,0.0279621,pub,,,5,,,£,,,1.2,3000,false
13353276,The Harrow,,51.4097991,-0.4440569,pub,,,30,,,£,,,1.2,10500,false
20821133,The Union Bar,,51.5004234,-0.1777428,pub,"""by appointment""",,15,,,£,,,1.2,6000,true
20973316,The Waterside,"The Boulevard, London, SW6 2SU",51.4727261,-0.1811598,pub,,,25,2.6,10,£,,,1.2,9360,false
21593232,The Last Judgement,"95 Chancery Lane, London, WC2A 1DT",51.5153316,-0.1117428,pub,,,10,3.25,80,£,,,1.2,5850,false
21593236,Ship Tavern,"12 Gate Street, London, WC2A 3HP",51.5172349,-0.1192033,pub,Mo-Sa 12:00-22:30,1400,5,3.45,141,£,,,1.2,7038,false
21980919,The Manor Inn,,51.3886519,-0.4228087,pub,,85,15,,,£,,,1.2,6255,false
25475187,The Cheshire Cheese,"48 Crutched Friars, London, EC3N 2AP",51.5114165,-0.0776978,pub,Mo-Fr 11:00-23:00; Sa 12:00-22:00; Su 12:00-20:00,,10,2.65,46,£,,,1.2,4770,true
25475914,The Swan,,51.5210917,-0.1228519,pub,Mo-Su 12:00-22:00,97,5,,,£,,,1.2,3146,true
25496840,26 Furnival Street,"26 Furnival Street, London, EC4A 1JS",51.5167141,-0.1103638,pub,,,20,3.55,82,£,,,1.2,10650,false
25510381,Crown & Cushion,"133-135 Westminster Bridge Road, London, SE1 7HR",51.4994616,-0.1139642,pub,Mo-Sa 11:00-23:00; Su 11:00-22:30,171,5,3.25,45,£,,,1.2,4233,true
25523569,Shortlands Tavern,"Station Road, Bromley, BR2 0EY",51.4053384,0.0034181,pub,12:00-23:00,130,5,2.8,12,£,,,1.2,3578,true
25524219,The Railway,,51.3803526,-0.0133037,pub,,,5,,,£,,,1.2,3000,false
25597628,The Angelic,"57 Liverpool Road, London, N1 0RJ",51.5347892,-0.1072883,pub,,,5,3.1,60,£,,,1.2,3720,false
25717653,The Old Ale Emporium,"405 Green Lanes, London, N4 1EU",51.5780132,-0.0990941,pub,Mo-Th 11:00-00:00; Fr-Sa 11:00-01:00; Su 12:00-23:00,,5,2.95,49,£,,,1.2,3540,true
25717655,The Beaconsfield,"359 Green Lanes, London, N4 1DZ",51.5763654,-0.0987786,pub,,,5,2.6,25,£,,,1.2,3120,false
